ages,anxiety_scores,any_breakup,argument_with_family,argument_with_family_time,betw_11_20_hr_work,betw_2_5_hr_work,betw_5_11_hr_work,borrow_money,breakup_date,change_in_personal_health,change_in_personal_health_time,change_major,change_major_months,change_major_year,college_year,conflict_with_faculty,conflict_with_faculty_time,conflict_with_friend,conflict_with_friend_time,conflict_with_roommate,conflict_with_roommate_time,conflict_with_student,conflict_with_student_time,current_job_start_date,death_close_family,death_close_family_time,death_close_friend,death_close_friend_time,divorce,divorce_time,do_not_work,dropped_class,dropped_class_time,eat_healthy_diet,eat_less,emergency_living_place,enjoy_being_at_school,family_health_change,family_health_time,family_seeing_freq,financial_support_from_loans,financial_support_from_parents,financial_support_from_self,first_gen,gender,gpa_current,gpa_last_sem_end,gpa_last_sem_start,grt_11_hr_work,grt_20_hr_work,laid_off,laid_off_time,less_2hr_work,living_dorm_shared,living_dorm_single,living_greek_shared,living_greek_single,living_off_campus_shared,living_off_campus_single,living_w_parents,lose_housing,majors,member_of_academic_clubs,member_of_academic_clubs_time,member_of_oncampus_clubs,member_of_oncampus_clubs_time,member_of_performing_arts,member_of_performing_arts_time,member_of_religious_club,member_of_religious_club_time,member_of_sports,member_of_sports_time,money_for_needs,months,nationality,on_probation,on_probation_time,overwhelmed_at_school,participate_in_social_good,participate_in_social_good_time,permanent_home,phq_final_get_along_with_people,phq_scores,race,rec_drugs,received_c_grade,received_c_grade_time,record_ids,seeing_family_recent_date,self_esteem_scores,si_grt_6_months_ago,si_less_month_ago,si_not_application,si_within_3_months,si_within_6_months,sleep_weekendnights_hrs,sleep_weeknights_hrs,smoke,someone_to_talk_to,spiritual_wellbeing,started_dating_time,suicide_ideation,talk_to_family_freq,time_stamps,trying_to_be_healthy,weekly_academic_work_hrs,weekly_research_work
22.0,13.0,0.0,0.0,,0,0,1,1.0,,0.0,,0.0,,,4,0.0,,1.0,2019-10-01,1.0,2019-03-14,0.0,,2019-08-23,0.0,,0.0,,0.0,,0,0.0,,2.0,1.0,1.0,1.0,1.0,2019-08-14,4.0,1,1,1,1.0,1.0,3.5,3.5,3.4,0,0,0.0,,0,0,0,0,0,1,0,0,0.0,computer science,0.0,,1.0,2016-10-01,0.0,,0.0,,0.0,,0.0,6.0,American,1.0,2018-10-04,2.0,0.0,,3.0,2.0,13.0,1,0.0,1.0,2017-10-31,27,2019-08-27,20,0,0,0,0,0,3.0,1.0,0.0,1.0,2.0,,0.0,2.0,2019-10-01 17:50:04,2.0,2.0,0.0
20.0,14.0,0.0,0.0,,0,1,0,0.0,,0.0,,1.0,8.0,0.0,3,0.0,,0.0,,0.0,,0.0,,2019-08-28,0.0,,0.0,,0.0,,0,1.0,2019-01-14,2.0,1.0,1.0,4.0,1.0,2018-11-16,4.0,0,0,1,1.0,2.0,3.1,3.07,3.14,0,0,0.0,,0,0,1,0,0,0,0,0,1.0,"physics & astronomy, computer science",1.0,2017-09-01,0.0,,1.0,2017-09-01,0.0,,1.0,2019-08-28,0.0,5.0,United States,0.0,,3.0,0.0,,2.0,1.0,13.0,1,0.0,1.0,2019-05-17,28,2019-08-21,14,1,0,0,0,0,4.0,4.0,0.0,1.0,2.0,,1.0,1.0,2019-10-01 17:55:47,1.0,4.0,1.0
19.0,11.0,0.0,0.0,,0,0,0,1.0,,0.0,,0.0,,,2,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,1,0.0,,2.0,0.0,1.0,4.0,0.0,,4.0,0,1,0,1.0,2.0,3.8,3.9,4.0,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,optics,1.0,2019-01-15,0.0,,0.0,,0.0,,0.0,,1.0,1.0,Chinese,0.0,,2.0,0.0,,2.0,0.0,3.0,3,0.0,0.0,,29,,14,0,0,0,0,0,3.0,1.0,0.0,1.0,2.0,,0.0,1.0,2019-10-02 11:40:27,2.0,4.0,0.0
21.0,7.0,0.0,0.0,,0,0,1,1.0,,0.0,,1.0,10.0,1.0,3,0.0,,0.0,,0.0,,0.0,,2018-08-23,0.0,,0.0,,0.0,,0,0.0,,0.0,0.0,1.0,3.0,0.0,,4.0,0,1,0,0.0,1.0,3.7,3.9,3.6,0,0,0.0,,0,0,1,0,0,0,0,0,0.0,computational biology,1.0,2018-12-16,0.0,,0.0,,0.0,,0.0,,1.0,1.0,Pakistani,0.0,,2.0,0.0,,4.0,4.0,0.0,3,0.0,0.0,,30,2019-01-21,0,0,0,0,0,0,4.0,3.0,0.0,1.0,0.0,,0.0,2.0,2019-10-02 13:44:08,3.0,2.0,1.0
21.0,13.0,0.0,0.0,,0,0,0,1.0,,1.0,2019-03-15,0.0,,,4,0.0,,0.0,,0.0,,0.0,,2019-08-26,0.0,,0.0,,0.0,,0,0.0,,3.0,1.0,1.0,4.0,0.0,,3.0,1,1,0,0.0,1.0,3.7,3.7,3.7,0,0,0.0,,1,0,0,0,0,0,1,0,0.0,"business, music performance (eastman dual-degree) ",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,,0.0,,1.0,0.0,,3.0,1.0,6.0,1,1.0,1.0,2018-10-12,31,2019-09-30,15,0,0,0,0,0,3.0,3.0,0.0,1.0,3.0,2016-11-10,0.0,1.0,2019-10-02 14:15:08,,3.0,0.0
20.0,5.0,1.0,1.0,2019-10-01,1,0,0,1.0,2019-08-08,0.0,,0.0,,,3,0.0,,0.0,,1.0,2019-09-09,0.0,,2018-01-01,0.0,,1.0,2018-10-30,0.0,,0,0.0,,2.0,1.0,0.0,0.0,0.0,,3.0,1,1,1,0.0,2.0,4.0,4.0,4.0,0,0,0.0,,0,0,0,0,0,1,0,0,0.0,international relations,1.0,2017-09-09,0.0,,0.0,,0.0,,0.0,,0.0,5.0,US,0.0,,3.0,0.0,,2.0,3.0,18.0,1,1.0,0.0,,32,2019-09-29,7,0,0,0,0,0,6.0,4.0,0.0,1.0,0.0,,0.0,1.0,2019-10-02 16:45:08,2.0,4.0,0.0
21.0,9.0,1.0,0.0,,1,0,0,1.0,2019-09-22,0.0,,1.0,9.0,2.0,4,0.0,,0.0,,0.0,,0.0,,2019-10-03,0.0,,1.0,2019-04-04,0.0,,0,0.0,,2.0,0.0,1.0,3.0,0.0,,3.0,1,1,0,0.0,2.0,3.4,3.4,3.4,0,0,1.0,2017-10-10,0,0,0,0,0,1,0,0,0.0,neuroscience,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,7.0,American,0.0,,1.0,0.0,,2.0,0.0,3.0,2,1.0,1.0,2018-12-15,33,2019-09-22,25,1,0,0,0,0,3.0,3.0,0.0,1.0,3.0,2019-07-04,1.0,2.0,2019-10-02 16:58:19,2.0,4.0,1.0
20.0,7.0,0.0,0.0,,0,0,1,,,0.0,,0.0,,,3,0.0,,0.0,,0.0,,0.0,,2019-08-28,0.0,,0.0,,0.0,,0,0.0,,1.0,,,4.0,0.0,,2.0,0,1,0,0.0,2.0,3.7,3.37,3.73,0,0,0.0,,0,0,1,0,0,0,0,0,,neuroscience,0.0,,0.0,,0.0,,0.0,,0.0,,,8.0,,0.0,,2.0,1.0,2018-10-10,1.0,0.0,3.0,3,,1.0,2019-05-05,34,,22,0,0,0,0,0,4.0,3.0,0.0,,,,0.0,1.0,2019-10-02 17:06:30,,1.0,0.0
18.0,13.0,0.0,0.0,,0,0,0,1.0,,0.0,,1.0,8.0,0.0,2,0.0,,1.0,2019-09-23,0.0,,0.0,,,0.0,,0.0,,0.0,,1,0.0,,0.0,1.0,1.0,4.0,1.0,2018-08-01,5.0,1,1,0,1.0,2.0,2.9,2.6,3.2,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,"biochemistry, business",1.0,2019-09-23,0.0,,0.0,,0.0,,0.0,,0.0,10.0,United States,0.0,,3.0,0.0,,3.0,2.0,17.0,3,0.0,1.0,2019-05-01,35,2019-08-22,15,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,,1.0,3.0,2019-10-03 12:41:06,0.0,0.0,0.0
20.0,9.0,0.0,0.0,,1,0,1,1.0,,0.0,,0.0,,,1,0.0,,0.0,,0.0,,0.0,,2019-09-01,0.0,,0.0,,0.0,,0,0.0,,2.0,0.0,1.0,3.0,0.0,,3.0,0,1,0,0.0,2.0,,4.0,,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,undeclared,0.0,,0.0,,1.0,2019-09-01,1.0,2019-01-20,0.0,,1.0,1.0,American,0.0,,1.0,1.0,2019-09-01,3.0,1.0,7.0,3,0.0,0.0,,36,2019-10-01,26,0,0,0,0,0,5.0,4.0,0.0,1.0,3.0,,0.0,1.0,2019-10-03 12:41:01,3.0,4.0,0.0
20.0,9.0,0.0,0.0,,0,1,0,1.0,,0.0,,1.0,,,3,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0,0.0,,3.0,0.0,1.0,3.0,0.0,,4.0,0,1,0,0.0,2.0,,,,0,0,0.0,,0,0,0,0,1,0,0,0,0.0,nan,0.0,,1.0,2017-09-11,0.0,,1.0,2018-01-20,0.0,,1.0,3.0,,0.0,,2.0,0.0,,3.0,1.0,6.0,3,1.0,0.0,,37,,17,0,0,0,0,0,3.0,3.0,0.0,1.0,3.0,2018-01-28,0.0,1.0,2019-10-03 15:44:10,3.0,,0.0
20.0,11.0,0.0,0.0,,0,1,0,1.0,,0.0,,0.0,,,3,0.0,,0.0,,0.0,,0.0,,2018-09-01,0.0,,0.0,,0.0,,0,1.0,,2.0,0.0,1.0,3.0,0.0,,4.0,0,1,0,0.0,2.0,3.72,3.72,3.71,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,mechanical engineering,1.0,2017-09-21,1.0,2017-09-14,0.0,,1.0,2017-09-13,0.0,,1.0,4.0,,0.0,,1.0,1.0,2017-09-13,3.0,0.0,4.0,3,1.0,0.0,,38,2019-08-16,17,0,0,0,1,0,3.0,4.0,0.0,1.0,2.0,2018-01-16,1.0,3.0,2019-10-03 15:51:00,2.0,,1.0
20.0,13.0,0.0,0.0,,0,1,0,0.0,,0.0,,0.0,,,3,0.0,,0.0,,0.0,,0.0,,2019-09-09,0.0,,0.0,,0.0,,0,0.0,,2.0,1.0,1.0,3.0,1.0,2019-09-18,4.0,1,1,1,0.0,2.0,3.89,3.89,3.7,0,0,0.0,,0,0,1,0,0,0,0,0,0.0,psychology,1.0,2019-04-30,0.0,,0.0,,0.0,,1.0,2017-08-30,1.0,7.0,American,0.0,,0.0,1.0,2017-08-30,3.0,1.0,7.0,1,0.0,0.0,,39,2019-09-28,27,0,0,0,0,0,4.0,3.0,0.0,1.0,3.0,2016-01-03,0.0,1.0,2019-10-03 16:42:11,2.0,3.0,1.0
