,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
3033,3033,4.9526348,Watched,['Entertainment'],222.0,18526.0,168.0,734625.0,2019,12,9,17,31,0,https://www.youtube.com/watch?v=1YZzSkP6KZo,"[MV] SUNG SI KYUNG(성시경), IU(아이유) _ First Winter (첫 겨울이니까)",youtube,,2019-12-09 17:31:00
3032,3032,4.9548178,Watched,['Music'],7810.0,683615.0,226.0,22119672.0,2019,12,9,17,35,0,https://www.youtube.com/watch?v=eP4ga_fNm-E,TAEYEON 태연 '불티 (Spark)' MV,youtube,,2019-12-09 17:35:00
3031,3031,4.91115,Watched,['Music'],101.0,4446.0,301.0,796349.0,2019,12,9,17,38,0,https://www.youtube.com/watch?v=GYgNFxH4taM,When You Believe- Prince of Egypt Soundtrack,youtube,,2019-12-09 17:38:00
3030,3030,4.9862127,Watched,['Entertainment'],66.0,19082.0,218.0,460861.0,2019,12,9,17,43,0,https://www.youtube.com/watch?v=EcAWpRRRThA,A highly unscientific look inside the brain of Hotel Del Luna’s IU | K-Drama Brain Map [ENG SUB],youtube,,2019-12-09 17:43:00
3029,3029,4.9549479000000005,Watched,['Howto & Style'],248.0,21771.0,320.0,567035.0,2019,12,9,17,46,0,https://www.youtube.com/watch?v=O3mgVT3q8Rg,ENGcc :)quick UP style. with Stick:) 비녀로 올림머리 / 비녀꽂는방법 [U진쌤],youtube,,2019-12-09 17:46:00
3028,3028,4.9027891,Watched,['Music'],2765.0,111008.0,236.0,4490034.0,2019,12,9,17,47,0,https://www.youtube.com/watch?v=YRk6djub7V4,ZHOUMI 조미 'Rewind (挽回) (feat. TAO of EXO)' MV,youtube,,2019-12-09 17:47:00
3027,3027,4.955265,Watched,['Music'],2321.0,205212.0,409.0,18227829.0,2019,12,9,17,51,0,https://www.youtube.com/watch?v=K_7To_y9IAM,Sparkle | Your Name AMV,youtube,,2019-12-09 17:51:00
6043,109,,Searched,[],,,,,2019,12,9,17,55,0,,,search,weather los angeles,2019-12-09 17:55:00
3026,3026,4.9024391,Watched,['Music'],14.0,560.0,316.0,115100.0,2019,12,9,18,12,0,https://www.youtube.com/watch?v=ttZZGH-7_50,,youtube,,2019-12-09 18:12:00
3025,3025,4.818182,Watched,['Music'],3.0,63.0,197.0,4663.0,2019,12,9,18,13,0,https://www.youtube.com/watch?v=WmPZQPjSm6I,,youtube,,2019-12-09 18:13:00
3024,3024,4.8580375,Watched,['Music'],17.0,462.0,236.0,49652.0,2019,12,9,18,16,0,https://www.youtube.com/watch?v=ba8Phot1QcU,,youtube,,2019-12-09 18:16:00
3023,3023,4.899103599999999,Watched,['Music'],9674.0,373849.0,264.0,94086441.0,2019,12,9,18,20,0,https://www.youtube.com/watch?v=qi7Yh16dA0w,,youtube,,2019-12-09 18:20:00
3022,3022,4.9296117,Watched,['Music'],174.0,9714.0,352.0,1795191.0,2019,12,9,18,25,0,https://www.youtube.com/watch?v=ejXSiMa9M4c,,youtube,,2019-12-09 18:25:00
3021,3021,4.9340658,Watched,['Film & Animation'],3.0,179.0,90.0,42192.0,2019,12,9,18,31,0,https://www.youtube.com/watch?v=lVRDeVVjzO0,,youtube,,2019-12-09 18:31:00
3020,3020,4.9703155,Watched,['Music'],12.0,1605.0,219.0,197619.0,2019,12,9,18,33,0,https://www.youtube.com/watch?v=KdXAgcbXQSg,,youtube,,2019-12-09 18:33:00
3019,3019,4.953678599999999,Watched,['Music'],17.0,1451.0,281.0,221759.0,2019,12,9,18,37,0,https://www.youtube.com/watch?v=TANXVmO8Df4,,youtube,,2019-12-09 18:37:00
3018,3018,4.9065809,Watched,['Music'],10833.0,453012.0,211.0,71837699.0,2019,12,9,18,41,0,https://www.youtube.com/watch?v=6Ux6SlOE9Qk,,youtube,,2019-12-09 18:41:00
3017,3017,4.9551282,Watched,['People & Blogs'],28.0,2468.0,252.0,155950.0,2019,12,9,18,45,0,https://www.youtube.com/watch?v=u5qcRq4K11o,,youtube,,2019-12-09 18:45:00
3016,3016,4.9208045,Watched,['Music'],7365.0,364626.0,186.0,37010458.0,2019,12,9,18,49,0,https://www.youtube.com/watch?v=DYS_qFWx7-M,,youtube,,2019-12-09 18:49:00
3015,3015,4.9318447,Watched,['Music'],470.0,27114.0,209.0,2273013.0,2019,12,9,18,52,0,https://www.youtube.com/watch?v=bfP1IMOlt_8,,youtube,,2019-12-09 18:52:00
3014,3014,4.9442010000000005,Watched,['Music'],1473.0,104120.0,234.0,15350735.0,2019,12,9,18,56,0,https://www.youtube.com/watch?v=jBjxedOaB_w,,youtube,,2019-12-09 18:56:00
3013,3013,,Searched,,,,,,2019,12,9,19,1,0,https://www.youtube.com/results?search_query=jackie+evancho+the+debut,,youtube,,2019-12-09 19:01:00
3012,3012,4.818006,Watched,['Music'],611.0,12818.0,237.0,617867.0,2019,12,9,19,1,0,https://www.youtube.com/watch?v=PDrM8-AXI3g,Jackie Evancho - BURN (Official Video),youtube,,2019-12-09 19:01:00
3011,3011,4.7584472,Watched,['Music'],84.0,1307.0,270.0,79508.0,2019,12,9,19,11,0,https://www.youtube.com/watch?v=NQfzbCYNDGM,A MILLION DREAMS,youtube,,2019-12-09 19:11:00
3010,3010,4.531453099999999,Watched,['Entertainment'],108.0,814.0,286.0,85599.0,2019,12,9,19,12,0,https://www.youtube.com/watch?v=J7Le2L_qQxM,Former child star Jackie Evancho opens up about her struggles in the spotlight,youtube,,2019-12-09 19:12:00
3009,3009,4.7862597000000004,Watched,['Music'],28.0,496.0,268.0,40385.0,2019,12,9,19,23,0,https://www.youtube.com/watch?v=bweoePQQsBM,FALLING SLOWLY,youtube,,2019-12-09 19:23:00
3008,3008,4.7773699999999995,Watched,['Music'],91.0,1544.0,186.0,83781.0,2019,12,9,19,28,0,https://www.youtube.com/watch?v=arkYIthplCA,Jackie Evancho - SOMEWHERE (AUDIO),youtube,,2019-12-09 19:28:00
3007,3007,4.71875,Watched,['Music'],27.0,357.0,237.0,28529.0,2019,12,9,19,31,0,https://www.youtube.com/watch?v=v6u8mINibqE,REQUIEM,youtube,,2019-12-09 19:31:00
3006,3006,4.8159294,Watched,['Music'],26.0,539.0,177.0,37326.0,2019,12,9,19,35,0,https://www.youtube.com/watch?v=tdoaDY8Bq6A,ONCE UPON A DECEMBER,youtube,,2019-12-09 19:35:00
3005,3005,4.6933331,Watched,['Music'],23.0,277.0,184.0,19475.0,2019,12,9,19,46,0,https://www.youtube.com/watch?v=A_NcsImJDSk,WHISPERING,youtube,,2019-12-09 19:46:00
3004,3004,4.7837839,Watched,['Music'],18.0,315.0,188.0,23309.0,2019,12,9,19,49,0,https://www.youtube.com/watch?v=KbpOUxQPgwU,ANOTHER DAY/NO DAY BUT TODAY,youtube,,2019-12-09 19:49:00
3003,3003,4.7703929,Watched,['Music'],19.0,312.0,200.0,24258.0,2019,12,9,19,52,0,https://www.youtube.com/watch?v=aiW-w7htG-o,I'M NOT THAT GIRL,youtube,,2019-12-09 19:52:00
3002,3002,4.7315874,Watched,['Music'],41.0,570.0,224.0,43758.0,2019,12,9,19,56,0,https://www.youtube.com/watch?v=yu7WzTFjgc4,SHE USED TO BE MINE,youtube,,2019-12-09 19:56:00
3001,3001,4.808239,Watched,['Music'],199.0,3953.0,204.0,161595.0,2019,12,9,19,56,0,https://www.youtube.com/watch?v=WrMwIVGV5zE,Jackie Evancho - I'M NOT THAT GIRL (Official Video),youtube,,2019-12-09 19:56:00
3000,3000,4.859261,Watched,['Music'],4725.0,129566.0,199.0,27722984.0,2019,12,9,19,59,0,https://www.youtube.com/watch?v=nbcCG7PkI18,WALK THE MOON - Shut Up and Dance (Audio),youtube,,2019-12-09 19:59:00
2999,2999,4.8461537,Watched,['Music'],11.0,275.0,259.0,107446.0,2019,12,9,20,2,0,https://www.youtube.com/watch?v=cdcqFbxG-vY,,youtube,,2019-12-09 20:02:00
2998,2998,4.9393363,Watched,['Music'],16.0,1039.0,224.0,104723.0,2019,12,9,20,7,0,https://www.youtube.com/watch?v=g_E1sXYlFQw,,youtube,,2019-12-09 20:07:00
2997,2997,4.9273815,Watched,['Music'],2161.0,116872.0,240.0,20269104.0,2019,12,9,20,11,0,https://www.youtube.com/watch?v=XUR8QByF2As,,youtube,,2019-12-09 20:11:00
2996,2996,4.9130301,Watched,['Music'],24463.0,1100665.0,216.0,203483769.0,2019,12,9,20,15,0,https://www.youtube.com/watch?v=NdYWuo9OFAw,,youtube,,2019-12-09 20:15:00
2995,2995,4.9361367,Watched,['Music'],4858.0,299416.0,293.0,56309204.0,2019,12,9,20,19,0,https://www.youtube.com/watch?v=g8z-qP34-1Y,,youtube,,2019-12-09 20:19:00
2994,2994,4.9406953,Watched,['Music'],11058.0,734782.0,258.0,74557482.0,2019,12,9,20,24,0,https://www.youtube.com/watch?v=IsXB5eRMRno,Henry 헨리 'TRAP' MV (with Kyuhyun & Taemin),youtube,,2019-12-09 20:24:00
2993,2993,4.913353900000001,Watched,['Music'],85.0,3839.0,266.0,974084.0,2019,12,9,20,28,0,https://www.youtube.com/watch?v=CG4oXPxUIGs,,youtube,,2019-12-09 20:28:00
2992,2992,4.7989602,Watched,['Music'],87.0,1644.0,220.0,161521.0,2019,12,9,20,33,0,https://www.youtube.com/watch?v=poxYhTj4FFQ,,youtube,,2019-12-09 20:33:00
2991,2991,4.7938552,Watched,['Music'],52.0,957.0,225.0,100446.0,2019,12,9,20,36,0,https://www.youtube.com/watch?v=IqUSJihwMQA,,youtube,,2019-12-09 20:36:00
2990,2990,4.944953400000001,Watched,['Music'],1723.0,123480.0,230.0,10957059.0,2019,12,9,20,40,0,https://www.youtube.com/watch?v=N8VRaGe3Cqs,,youtube,,2019-12-09 20:40:00
