,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
18,18,4.4503074,Watched,['Howto & Style'],961.0,6032.0,509.0,1181484.0,2019,8,28,13,5,2,https://www.youtube.com/watch?v=s2zomQRApws,DIY At Home LowLights done right.,youtube,,2019-08-28 13:05:00
17,17,4.9232984,Watched,['Howto & Style'],20.0,1023.0,833.0,44241.0,2019,8,28,13,7,2,https://www.youtube.com/watch?v=IP5AJmbZzto,HOW TO DO LOWLIGHTS ON A NATURAL BLOND // SHORT HAIRSTYLES FOR WOMEN,youtube,,2019-08-28 13:07:00
16,16,4.8470492,Watched,['Howto & Style'],46.0,1157.0,119.0,95086.0,2019,9,4,13,18,2,https://www.youtube.com/watch?v=2bDIOUVDOR4,How to Make Healthy Tuna Salad| The Stay At Home Chef,youtube,,2019-09-04 13:18:00
15,15,4.1758795,Watched,['Science & Technology'],164.0,632.0,160.0,194691.0,2019,9,14,9,33,5,https://www.youtube.com/watch?v=guv6kkVcxdU,How to Allow Your Camera and Microphone on Google Chrome,youtube,,2019-09-14 09:33:00
14,14,4.8979015,Watched,['Music'],11372.0,434158.0,185.0,38541250.0,2019,9,23,16,46,0,https://www.youtube.com/watch?v=4h26oYuE2h0,SHAED - Trampoline (Official Video),youtube,,2019-09-23 16:46:00
13,13,,Searched,,,,,,2019,9,23,16,48,0,https://www.youtube.com/results?search_query=shaed,,youtube,,2019-09-23 16:48:00
12,12,4.9362688,Watched,['Music'],127.0,7844.0,223.0,234991.0,2019,9,23,16,48,0,https://www.youtube.com/watch?v=_jgyLmY7mJQ,,youtube,,2019-09-23 16:48:00
11,11,4.9721322,Watched,['Entertainment'],250.0,35634.0,205.0,1288178.0,2019,9,23,17,20,0,https://www.youtube.com/watch?v=8zR6IZc-RTM,,youtube,,2019-09-23 17:20:00
10,10,4.9684129,Watched,['Music'],3274.0,411327.0,218.0,23868797.0,2019,9,23,17,22,0,https://www.youtube.com/watch?v=Kr0vuvEyrtE,,youtube,,2019-09-23 17:22:00
9,9,4.9798446,Watched,['Music'],309.0,61014.0,641.0,2107760.0,2019,9,23,17,25,0,https://www.youtube.com/watch?v=dXiYvaeKzM4,,youtube,,2019-09-23 17:25:00
8,8,4.9405398,Watched,['Entertainment'],3983.0,263961.0,232.0,13454145.0,2019,9,23,17,28,0,https://www.youtube.com/watch?v=k4vRFodAqWo,,youtube,,2019-09-23 17:28:00
7,7,4.9270401,Watched,['Howto & Style'],576.0,31003.0,156.0,1299743.0,2019,9,23,17,31,0,https://www.youtube.com/watch?v=l3dO8Ny2XfM,Billie Eilish Reveals Why She Wears Baggy Clothes,youtube,,2019-09-23 17:31:00
6,6,,Searched,,,,,,2019,9,24,8,49,1,https://www.youtube.com/results?search_query=trampoline+shaed,,youtube,,2019-09-24 08:49:00
5,5,4.9305086,Watched,['Music'],82.0,4638.0,221.0,314395.0,2019,9,24,8,49,1,https://www.youtube.com/watch?v=1S5XEqOeyc4,,youtube,,2019-09-24 08:49:00
4,4,4.8979015,Watched,['Music'],11372.0,434158.0,185.0,38541250.0,2019,9,24,8,59,1,https://www.youtube.com/watch?v=4h26oYuE2h0,SHAED - Trampoline (Official Video),youtube,,2019-09-24 08:59:00
3,3,4.753917700000001,Watched,['Music'],106.0,1617.0,218.0,139142.0,2019,9,24,9,2,1,https://www.youtube.com/watch?v=_s2_l_U8pcg,Keep Calling,youtube,,2019-09-24 09:02:00
2,2,4.931140900000001,Watched,['People & Blogs'],167.0,9534.0,294.0,606591.0,2019,9,24,9,6,1,https://www.youtube.com/watch?v=fl51O_46UZk,SHAED - Melt (Official video),youtube,,2019-09-24 09:06:00
1,1,4.880690599999999,Watched,['Entertainment'],19.0,618.0,78.0,168053.0,2019,9,25,16,39,2,https://www.youtube.com/watch?v=uIysNYAhIf0,How to Remove Sweater Fuzz with a Razor | Everyday Genius with Kari Byron,youtube,,2019-09-25 16:39:00
0,0,4.5134706,Watched,['Howto & Style'],307.0,2217.0,155.0,713466.0,2019,9,25,16,50,2,https://www.youtube.com/watch?v=-20BbpWoPeM,4 Quick Ways to Remove Fuzzy Sweater Pillings!,youtube,,2019-09-25 16:50:00
