,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
31,31,,Searched,"[['/Online Communities/Social Networks', 0.800000011920929]]",,,,,2019,9,15,21,26,6,,,search,facebook,2019-09-15 21:26:00
30,30,,Visited,"[['/Online Communities/Social Networks', 0.8899999856948853]]",,,,,2019,9,15,21,27,6,,,search,https://m.facebook.com/login/,2019-09-15 21:27:00
29,29,,Searched,"[['/Arts & Entertainment/TV & Video/Online Video', 0.8799999952316284], ['/Arts & Entertainment/Online Media', 0.8700000047683716]]",,,,,2019,9,15,21,55,6,,,search,youtube,2019-09-15 21:55:00
28,28,,Searched,"[['/Online Communities/Social Networks', 0.800000011920929]]",,,,,2019,9,15,21,59,6,,,search,facebook,2019-09-15 21:59:00
27,27,,Visited,"[['/Online Communities/Social Networks', 0.8799999952316284]]",,,,,2019,9,15,21,59,6,,,search,https://m.facebook.com/,2019-09-15 21:59:00
26,26,,Visited,[],,,,,2019,9,15,21,59,6,,,search,https://m.facebook.com/?zero_e=2&zero_et=1567438195&_rdc=1&refsrc=https%3A%2F%2Ffree.facebook.com%2F,2019-09-15 21:59:00
25,25,,Visited,[],,,,,2019,9,17,9,24,1,,,search,https://en.m.wikipedia.org/wiki/Facebook,2019-09-17 09:24:00
24,24,,Searched,"[['/Internet & Telecom', 0.5799999833106995]]",,,,,2019,9,27,10,52,4,,,search,Google,2019-09-27 10:52:00
23,23,,Searched,"[['/Adult', 0.9399999976158142]]",,,,,2019,9,27,10,53,4,,,search,xhamster lesbian,2019-09-27 10:53:00
22,22,,Visited,"[['/Adult', 0.9200000166893005]]",,,,,2019,9,27,10,53,4,,,search,https://amp.xhamster.com/categories/lesbian,2019-09-27 10:53:00
21,21,,Searched,"[['/Adult', 0.9900000095367432]]",,,,,2019,9,27,11,4,4,,,search,pornhub lesbian,2019-09-27 11:04:00
20,20,,Visited,"[['/Adult', 0.9900000095367432]]",,,,,2019,9,27,11,4,4,,,search,Lesbian Porn Videos | Pornhub.com,2019-09-27 11:04:00
19,19,,Searched,"[['/Adult', 0.9900000095367432]]",,,,,2019,9,27,11,12,4,,,search,pornhub hdddn squirt,2019-09-27 11:12:00
18,18,,Visited,"[['/Adult', 0.9900000095367432]]",,,,,2019,9,27,11,12,4,,,search,Hdddn Squirt Compilation 1 - Pornhub.com,2019-09-27 11:12:00
17,17,,Searched,"[['/Internet & Telecom/Email & Messaging', 0.7300000190734863]]",,,,,2019,9,28,17,30,5,,,search,gmail,2019-09-28 17:30:00
16,16,,Searched,"[['/Reference/Language Resources/Foreign Language Resources', 0.8500000238418579]]",,,,,2019,10,17,18,30,3,,,search,google translate,2019-10-17 18:30:00
15,15,,Searched,"[['/Reference/Language Resources', 0.7400000095367432]]",,,,,2019,10,17,18,30,3,,,search,linguee english to french,2019-10-17 18:30:00
14,14,,Searched,"[['/Jobs & Education/Education', 0.8799999952316284]]",,,,,2019,10,17,18,49,3,,,search,blackboard u rochester,2019-10-17 18:49:00
13,13,,Searched,"[['/Reference/Language Resources', 0.9800000190734863]]",,,,,2019,10,17,19,3,3,,,search,spanish verbs that change meaning in reflexive,2019-10-17 19:03:00
12,12,,Searched,"[['/Shopping/Apparel/Clothing Accessories', 0.9399999976158142]]",,,,,2019,10,20,17,37,6,,,search,tj maxx womens watches,2019-10-20 17:37:00
11,11,,Searched,"[['/Finance/Banking', 0.8299999833106995], ['/Finance/Credit & Lending', 0.6700000166893005]]",,,,,2019,11,5,14,50,1,,,search,metro credit union,2019-11-05 14:50:00
10,10,,Searched,"[['/Internet & Telecom/Email & Messaging', 0.9100000262260437]]",,,,,2019,11,26,10,55,1,,,search,gmail sign in,2019-11-26 10:55:00
9,9,,Searched,[],,,,,2019,12,8,16,42,6,,,search,u of r cetl,2019-12-08 16:42:00
8,8,,Visited,"[['/Jobs & Education/Education/Colleges & Universities', 0.6200000047683716]]",,,,,2019,12,8,16,43,6,,,search,Center for Excellence in Teaching and Learning : University of ...,2019-12-08 16:43:00
7,7,,Visited,[],,,,,2019,12,8,16,45,6,,,search,https://amp.theguardian.com/world/2019/dec/07/haiti-looks-to-revolutionary-hero-dessalines,2019-12-08 16:45:00
6,6,,Visited,"[['/Internet & Telecom', 0.8500000238418579]]",,,,,2019,12,20,19,57,4,,,search,Google Search,2019-12-20 19:57:00
5,5,,Searched,[],,,,,2019,12,20,20,3,4,,,search,legal age in germany,2019-12-20 20:03:00
4,4,,Searched,[],,,,,2019,12,20,20,3,4,,,search,age of consent in germany,2019-12-20 20:03:00
3,3,,Searched,"[['/Arts & Entertainment/Music & Audio', 0.7300000190734863]]",,,,,2019,12,20,20,19,4,,,search,can dylan be a girl's name,2019-12-20 20:19:00
2,2,,Visited,"[['/Internet & Telecom', 0.8500000238418579]]",,,,,2020,3,5,4,27,3,,,search,Google Search,2020-03-05 04:27:00
1,1,,Visited,"[['/Internet & Telecom', 0.8500000238418579]]",,,,,2020,3,14,19,50,5,,,search,Google Search,2020-03-14 19:50:00
0,0,,Searched,"[['/Adult', 0.9700000286102295], ['/News', 0.6100000143051147]]",,,,,2020,3,26,21,3,3,,,search,abella danger,2020-03-26 21:03:00
